what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1274131469498
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1274131473894
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1274131491294
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1274131494934
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1274131496251
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131516829
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131635023
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131647725
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131649040
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1274131672894
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131680776
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131682039
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131689297
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131689617
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131698277
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131767941
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1274131769146
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131771732
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131772488
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131772957
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274131776624
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1274131784373
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1274131792419
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1274131825661
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1274131825833
