what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132609981
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132659318
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1274132659442
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132664231
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132671161
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132688321
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132703153
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132756055
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132757431
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1274132760528
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132765199
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132770512
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132780475
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132781704
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1274132790033
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132798645
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132799726
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132811784
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132815511
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1274132823691
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132827964
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132830503
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1274132855205
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132859782
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274132860785
