what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274129951817
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1274129960586
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274129961266
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1274129961342
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1274129961355
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1274129963713
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1274129963714
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1274129963867
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274129967045
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274129976301
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1274129977231
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1274129977585
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1274129977708
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1274129979399
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274129982036
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274129988075
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1274129988184
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1274129988272
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1274129990079
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274129992176
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274129995297
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1274129995404
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1274129995500
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1274129998238
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1274130000557
